id,pir,name,ceased,taxNumber,kshNumber,ahtiNumber,ohNumber,address,excName,excDate
85057,490650,FŐVÁROSI ÁLLAT- ÉS NÖVÉNYKERT,,15490658242,15490658910432201,,,1146 Budapest Állatkerti körút 6-12 ,Dr. Sós Endre,2024-11-01
106002,677073,FŐVÁROSI BESZÉDJAVÍTÓ INTÉZET ÉS EGYSÉGES GYÓGYPEDAGÓGIAI MÓDSZERTANI INTÉZMÉNY,,16924839142,16924839856032201,,034397,1077 Budapest Izabella utca 1 ,Mosányi Emőke Éva,2008-08-16
89394,752183,FŐVÁROSI BÜNTETÉS-VÉGREHAJTÁSI INTÉZET,,15752181251,15752181842331201,050719,,1055 Budapest Nagy Ignác utca 5-11 ,Nyima Tamás Roland,2024-11-01
98382,494384,FŐVÁROSI ELLÁTÁSI ÉS GAZDASÁGI SZOLGÁLAT,,15494384241,15494384751432201,,,1052 Budapest Városház utca 9-11 ,,
100371,598415,FŐVÁROSI ÉS PEST MEGYEI MEZŐGAZDASÁGI SZAKIGAZGATÁSI HIVATAL,,15598419241,15598419841131201,275367,,1135 Budapest Lehel utca 43-47 ,Miakich István Gábor,2008-12-01
94744,320834,FŐVÁROSI ÉS PEST MEGYEI NÖVÉNY- ÉS TALAJVÉDELMI SZOLGÁLAT,,15320830213,15320830751331213,,,2100 Gödöllő Kotlán Sándor utca 3 ,Benécsné dr. Bárdi Gabriella,2005-05-01
101690,613813,FŐVÁROSI ÉS PEST MEGYEI NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG KIRENDELTSÉGE CEGLÉD,,,16606148753033213,,,2700 Cegléd Táncsics M. utca 4 ,,
100478,600798,FŐVÁROSI ÉS PEST MEGYEI NYUGDÍJBIZTOSÍTÁSI IGAZGATÓSÁG KIRENDELTSÉGE VÁC,,16606131113,16606131753033213,,,2600 Vác Dr. Csányi László körút 16 ,,
106015,677226,FŐVÁROSI ESZE TAMÁS GYERMEKOTTHON,,16927416143,16927416879031201,339173,,1125 Budapest Diósárok út 40 ,Muzsnai Zoltán,2014-07-01
94769,324843,FŐVÁROSI FÖLDHIVATAL,,15324841241,15324841841331201,037130,,1051 Budapest Sas utca 19 ,Dr. Szabó Zsolt,2007-08-14
85099,494351,FŐVÁROSI GYERMEKVÉDELMI INTÉZMÉNYEK ÜZEMELTETÉSI SZERVEZETE,,15494353242,15494353841131201,339273,,1087 Budapest Kerepesi út 33 ,Mihály János,2022-10-17
98186,490319,FŐVÁROSI GYERMEKVÉDELMI KÖZPONT ÉS TERÜLETI GYERMEKVÉDELMI SZAKSZOLGÁLAT,,15490311242,15490311879031201,339084,,1081 Budapest Alföldi utca 9-13 ,Kuslits Gábor,2021-04-01
98351,493826,FŐVÁROSI IFJÚSÁGI ÉS PÁLYAVÁLASZTÁSI TANÁCSADÓ,,15493826142,15493826804232201,,,1088 Budapest Vas utca 8-10 ,,
98201,490683,FÖVÁROSI ILLETÉKHIVATAL,,15490689142,15490689751132201,,,1146 Budapest Hungária körút 179-187 ,,
106009,677149,FŐVÁROSI ISKOLASZANATÓRIUM ÁLTALÁNOS ISKOLA,,16924963143,16924963852032201,,035206,1118 Budapest Rimaszombati út 2-4 ,Dr. Patakiné Barkóczy Ildikó,2008-08-16
85939,597320,FŐVÁROSI ÍTÉLŐTÁBLA,,15597322141,15597322842331201,243512,,1027 Budapest Fekete Sas utca 3 ,dr. Ribai Csilla,2023-01-01
106024,677336,FŐVÁROSI KAFFKA MARGIT GYERMEKOTTHON,,16927942143,16927942879031201,339151,,1122 Budapest Acsády Ignác utca 3 ,Rimóczi Annamária,2015-10-01
85091,494142,FŐVÁROSI KATASZTRÓFAVÉDELMI IGAZGATÓSÁG,,15494140251,15494140842531201,332217,,1081 Budapest Dologház utca 1 ,Lipták Attila,2023-02-01
106013,677194,FŐVÁROSI KORNIS KLÁRA GYERMEKOTTHON,,16927382141,16927382879031201,339251,,1042 Budapest Árpád út 199 ,Rozgonyi Attila,2016-01-01
94810,325455,FŐVÁROSI KÖZLEKEDÉSI FELÜGYELET,,15325457242,15325457751131201,,,1061 Budapest Andrássy út 8 ,Dr. Pintér József,2003-01-01
85061,490771,FŐVÁROSI ÖNKORMÁNYZAT ALACSKAI ÚTI IDŐSEK OTTHONA,,15490775243,15490775873032201,,,1182 Budapest Alacskai út 22 ,Dikter Tiborné,2021-01-01
98197,490528,FŐVÁROSI ÖNKORMÁNYZAT BAROSS UTCAI IDŐSEK OTTHONA,,15490524141,15490524873032201,,,1047 Budapest Baross utca 100 ,Halász Istvánné,2021-10-28
98239,491581,FŐVÁROSI ÖNKORMÁNYZAT BAY ZOLTÁN ELEKTRONIKAI SZAKKÖZÉPISKOLA ÉS MŰSZERIPARI SZAKISKOLA,,15491587141,15491587802232201,,,1041 Budapest Lőrinc utca 40 ,,
98183,490265,FÖVÁROSI ÖNKORMÁNYZAT BUDAI GYERMEKKÓRHÁZ ÉS RENDELÖINTÉZET,,15490263241,15490263851132201,,,1023 Budapest Bolyai utca 5-9 ,,
98320,493354,FÖVÁROSI ÖNKORMÁNYZAT CIGÁNY HÁZ-ROMANO KHER,,15493352142,15493352856032201,,,1151 Budapest Énekes utca 10/b ,Zsigó Jenő,1987-12-01
98184,490276,FŐVÁROSI ÖNKORMÁNYZAT  CSARNOK ÉS PIAC IGAZGATÓSÁGA,,15490270243,15490270841132201,,,1117 Budapest Kőrösi József utca 7-9 ,Kovács János,2021-01-01
98214,491019,"FŐVÁROSI ÖNKORMÁNYZAT CSECSEMŐKET, KISGYERMEKEKET ÉS FOGYATÉKOSOKAT BEFOGADÓ GYERMEKOTTHONAI",,15491013242,15491013879032201,,200744,1063 Budapest Kmety György utca 31 ,Dr. Forrai Mária,2009-01-01
98326,493420,FŐVÁROSI ÖNKORMÁNYZAT DR. SZIGETI GYÖRGY MŰSZAKI SZAKKÖZÉPISKOLA,,15493424243,15493424802232201,,,1126 Budapest Márvány utca 32 ,,
85075,492917,FŐVÁROSI ÖNKORMÁNYZAT GÖDÖLLŐI IDŐSEK OTTHONA,,15492911213,15492911873032213,,,2100 Gödöllő Dózsa György út 65 ,Kovácsné Blaskó Mariann,2022-01-01
85076,492928,FŐVÁROSI ÖNKORMÁNYZAT GYULAI IDŐSEK OTTHONA,,15492928204,15492928873032204,,,5700 Gyula Vértanúk útja 1-5 ,Dolozim Emese,2020-02-15
85062,490782,FŐVÁROSI ÖNKORMÁNYZAT HALOM UTCAI IDŐSEK OTTHONA,,15490782242,15490782873032201,,,1102 Budapest Halom utca 31 ,Vágner Zsuzsanna,2021-10-02
98198,490540,FŐVÁROSI ÖNKORMÁNYZAT IDŐSEK ÉS PSZICHIÁTRIAI BETEGEK OTTHONA,,15490548243,15490548873032201,,,1201 Budapest Virág Benedek utca 36 ,Veres Zsuzsanna,2012-10-01
98312,493189,FÖVÁROSI ÖNKORMÁNYZAT IDÖSEK OTTHONA,,15493187213,15493187853132213,,,2025 Visegrád Mogyoróhegy utca 10 ,Balázs Piroska,2005-03-01
98285,492380,FÖVÁROSI ÖNKORMÁNYZAT IDÖSEK OTTHONA,,15492382142,15492382853132201,,,1103 Budapest Gergely utca 85 ,Kissné Banyák Zsuzsanna,1990-06-01
98196,490517,FÖVÁROSI ÖNKORMÁNYZAT IDÖSEK OTTHONA,,15490517243,15490517853132201,,,1124 Budapest Mártonhegyi út 53-57 ,Kántor Ilona,1992-07-01
98305,492951,FŐVÁROSI ÖNKORMÁNYZAT IDŐSEK OTTHONA,,15492959107,15492959873032207,,,8153 Polgárdi Somlyói utca 2 ,Nagy László,2014-08-13
98227,491437,FŐVÁROSI  ÖNKORMÁNYZAT IHÁSZ DÁNIEL KÖZLEKEDÉSGÉPÉSZETI SZAKKÖZÉPISKOLA,,15491439243,15491439802232201,,,1097 Budapest Gyáli út 25b ,,
85084,493233,FŐVÁROSI ÖNKORMÁNYZATI RENDÉSZETI IGAZGATÓSÁG,,15493235241,15493235841132201,,,1054 Budapest Akadémia utca 1 ,Handl Tamás,2019-11-06
85054,490539,FŐVÁROSI ÖNKORMÁNYZAT KAMARAERDEI ÚTI IDŐSEK OTTHONA,,15490531243,15490531873032201,,,1112 Budapest Kamaraerdei út 16 ,Havas Pálma,2020-10-01
98259,491888,FŐVÁROSI ÖNKORMÁNYZAT KOSSUTH LAJOS KÖZGAZDASÁGI SZAKKÖZÉPISKOLA,,15491886243,15491886802232201,,,1126 Budapest Márvány utca 32 ,,
98228,491448,FŐVÁROSI  ÖNKORMÁNYZAT  KÖZIGAZGATÁS-SZERVEZÉSI ÉS INFORMATIKAI SZOLGÁLAT,,15491446241,15491446620332201,,,1054 Budapest Akadémia utca 1 ,Farkas Ferenc,2003-06-01
98342,493684,FŐVÁROSI ÖNKORMÁNYZAT KÖZPONTI MŰSZAKI NYILVÁNTARTÓ ÉS MÉRNÖKI IRODA,,15493682241,15493682751432201,,,1052 Budapest Városház utca 9-11 ,,
